week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2022-08-27T00:00:00.000,2022-2023,0.841,2022,34,,Overall,2025-08-23 00:00:00.0000000
2022-09-03T00:00:00.000,2022-2023,1.61,2022,35,,Overall,2025-08-30 00:00:00.0000000
2021-05-01T00:00:00.000,2020-2021,37.17,2021,17,,Hispanic,2026-04-25 00:00:00.0000000
2021-05-08T00:00:00.000,2020-2021,37.19,2021,18,,Hispanic,2026-05-02 00:00:00.0000000
2021-05-15T00:00:00.000,2020-2021,37.2,2021,19,,Hispanic,2026-05-09 00:00:00.0000000
2021-05-22T00:00:00.000,2020-2021,37.21,2021,20,,Hispanic,2026-05-16 00:00:00.0000000
2021-05-29T00:00:00.000,2020-2021,37.23,2021,21,,Hispanic,2026-05-23 00:00:00.0000000
2021-08-07T00:00:00.000,2021-2022,0.0698,2021,31,,Hispanic,2025-08-02 00:00:00.0000000
2021-08-14T00:00:00.000,2021-2022,0.204,2021,32,,Hispanic,2025-08-09 00:00:00.0000000
2021-08-21T00:00:00.000,2021-2022,0.4749999999999999,2021,33,,Hispanic,2025-08-16 00:00:00.0000000
2021-08-28T00:00:00.000,2021-2022,0.8840000000000001,2021,34,,Hispanic,2025-08-23 00:00:00.0000000
2021-09-04T00:00:00.000,2021-2022,1.61,2021,35,,Hispanic,2025-08-30 00:00:00.0000000
2021-09-11T00:00:00.000,2021-2022,2.75,2021,36,,Hispanic,2025-09-06 00:00:00.0000000
2021-09-18T00:00:00.000,2021-2022,4.57,2021,37,,Hispanic,2025-09-13 00:00:00.0000000
2021-09-25T00:00:00.000,2021-2022,7.03,2021,38,,Hispanic,2025-09-20 00:00:00.0000000
2019-08-10T00:00:00.000,2019-2020,0.184,2019,32,,Overall,2025-08-02 00:00:00.0000000
2019-08-17T00:00:00.000,2019-2020,0.447,2019,33,,Overall,2025-08-09 00:00:00.0000000
