date,location,location_name,value,weekly_rate
2021-10-09,04,Arizona,17.0,0.22420389154651096
2021-10-16,04,Arizona,24.0,0.31652314100683904
2021-10-23,04,Arizona,5.0,0.06594232104309146
2021-10-30,04,Arizona,1.0,0.013188464208618291
2021-11-06,04,Arizona,5.0,0.06594232104309146
2021-11-13,04,Arizona,2.0,0.026376928417236583
2021-11-20,04,Arizona,4.0,0.052753856834473166
2021-11-27,04,Arizona,11.0,0.14507310629480122
2021-12-04,04,Arizona,19.0,0.25058081996374754
2021-12-11,04,Arizona,26.0,0.3429000694240756
2021-12-18,04,Arizona,36.0,0.47478471151025853
2021-12-25,04,Arizona,54.0,0.7121770672653878
2022-01-01,04,Arizona,387.0,5.103935648735279
2022-01-08,04,Arizona,316.0,4.167554689923381
2022-01-15,04,Arizona,23.0,0.30333467679822074
2022-01-22,04,Arizona,23.0,0.30333467679822074
2022-01-29,04,Arizona,20.0,0.26376928417236584
2022-02-05,04,Arizona,35.0,0.46159624730164023
2022-02-12,04,Arizona,53.0,0.6989886030567695
2022-02-19,04,Arizona,56.0,0.7385539956826244
2022-02-26,04,Arizona,80.0,1.0550771366894633
2022-03-05,04,Arizona,80.0,1.0550771366894633
2022-03-12,04,Arizona,79.0,1.0418886724808452
2022-03-19,04,Arizona,104.0,1.3716002776963023
2022-03-26,04,Arizona,120.0,1.5826157050341951
2022-04-02,04,Arizona,99.0,1.305657956653211
2022-04-09,04,Arizona,116.0,1.529861848199722
2022-04-16,04,Arizona,93.0,1.2265271714015011
2022-04-23,04,Arizona,131.0,1.7276888113289963
2022-04-30,04,Arizona,156.0,2.0574004165444535
2022-05-07,04,Arizona,170.0,2.2420389154651095
2022-05-14,04,Arizona,194.0,2.5585620564719487
2022-05-21,04,Arizona,225.0,2.9674044469391156
2022-05-28,04,Arizona,199.0,2.62450437751504
2022-06-04,04,Arizona,209.0,2.756389019601223
2022-06-11,04,Arizona,93.0,1.2265271714015011
2022-06-18,04,Arizona,55.0,0.7253655314740061
2022-06-25,04,Arizona,35.0,0.46159624730164023
2022-07-02,04,Arizona,16.0,0.21101542733789266
2022-07-09,04,Arizona,14.0,0.1846384989206561
2022-07-16,04,Arizona,9.0,0.11869617787756463
2022-07-23,04,Arizona,13.0,0.1714500347120378
